Date,Open,High,Low,Close,Adj Close,Volume
7/23/2020,2.200000048,2.25,2.059999943,2.25,2.25,380300
7/24/2020,2.220000029,2.289999962,2.130000114,2.190000057,2.190000057,342800
7/27/2020,2.349999905,2.869999886,2.349999905,2.579999924,2.579999924,658400
7/28/2020,2.650000095,2.839999914,2.450000048,2.519999981,2.519999981,604100
7/29/2020,2.549999952,2.700000048,2.549999952,2.579999924,2.579999924,339400
7/30/2020,2.539999962,2.849999905,2.380000114,2.849999905,2.849999905,197300
7/31/2020,2.900000095,2.920000076,2.75,2.900000095,2.900000095,325800
8/4/2020,3,3.480000019,3,3.400000095,3.400000095,608000
8/5/2020,3.539999962,3.769999981,3.25999999,3.49000001,3.49000001,363300
8/6/2020,3.430000067,3.640000105,3.220000029,3.25999999,3.25999999,322200
8/7/2020,3.380000114,3.390000105,2.859999895,3.200000048,3.200000048,344700
8/10/2020,3.390000105,3.74000001,3.210000038,3.50999999,3.50999999,279800
8/11/2020,3.390000105,3.450000048,3,3.150000095,3.150000095,316700
8/12/2020,3.25,3.529999971,3.150000095,3.400000095,3.400000095,165500
8/13/2020,3.410000086,3.640000105,3.380000114,3.579999924,3.579999924,154400
8/14/2020,3.680000067,3.900000095,3.589999914,3.75999999,3.75999999,253800
8/17/2020,3.900000095,3.900000095,3.630000114,3.75999999,3.75999999,265000
8/18/2020,3.839999914,3.839999914,3.460000038,3.599999905,3.599999905,185600
8/19/2020,3.549999952,3.724999905,3.529999971,3.700000048,3.700000048,159300
8/20/2020,3.680000067,3.819999933,3.670000076,3.75,3.75,342600
8/21/2020,3.75999999,3.799999952,3.690000057,3.769999981,3.769999981,217200
8/24/2020,3.849999905,4.099999905,3.730000019,4.03000021,4.03000021,354600
8/25/2020,4.050000191,4.050000191,3.700000048,3.849999905,3.849999905,351900
8/26/2020,3.849999905,4,3.680000067,3.960000038,3.960000038,178800
8/27/2020,3.960000038,4.170000076,3.900000095,3.950000048,3.950000048,302800
8/28/2020,4.010000229,4.429999828,4.010000229,4.420000076,4.420000076,200600
8/31/2020,4.550000191,5.079999924,4.400000095,4.940000057,4.940000057,581600
9/1/2020,4.900000095,5.679999828,4.71999979,4.760000229,4.760000229,730400
9/2/2020,4.900000095,5.010000229,4.03000021,4.159999847,4.159999847,967500
9/3/2020,4.019999981,4.050000191,3.549999952,3.819999933,3.819999933,693100
9/4/2020,3.849999905,3.849999905,3.079999924,3.480000019,3.480000019,784000
9/8/2020,3.269999981,3.680000067,3.269999981,3.380000114,3.380000114,351800
9/9/2020,3.470000029,3.670000076,3.430000067,3.599999905,3.599999905,244500
9/10/2020,3.640000105,3.900000095,3.400000095,3.470000029,3.470000029,362900
9/11/2020,3.5,3.579999924,3.359999895,3.410000086,3.410000086,126200
9/14/2020,3.619999886,3.650000095,3.5,3.609999895,3.609999895,197600
9/15/2020,3.650000095,3.789999962,3.519999981,3.569999933,3.569999933,164300
9/16/2020,3.559999943,3.75,3.480000019,3.609999895,3.609999895,210400
9/17/2020,3.700000048,3.799999952,3.529999971,3.559999943,3.559999943,273800
9/18/2020,3.599999905,3.640000105,3.349999905,3.400000095,3.400000095,296500
9/21/2020,3.269999981,3.269999981,2.630000114,3.170000076,3.170000076,863400
9/22/2020,3.210000038,3.210000038,2.940000057,3.119999886,3.119999886,209400
9/23/2020,3.150000095,3.380000114,2.859999895,2.940000057,2.940000057,221100
9/24/2020,2.849999905,3.430000067,2.799999952,3.140000105,3.140000105,316300
9/25/2020,3.359999895,3.789999962,3.140000105,3.599999905,3.599999905,1470000
9/28/2020,3.75,3.75999999,3.609999895,3.74000001,3.74000001,263200
9/29/2020,3.690000057,3.690000057,3.359999895,3.440000057,3.440000057,165600
9/30/2020,3.329999924,3.460000038,3.329999924,3.369999886,3.369999886,77600
10/1/2020,3.450000048,3.450000048,3.150000095,3.309999943,3.309999943,147900
10/2/2020,3.210000038,3.400000095,3.210000038,3.349999905,3.349999905,58000
10/5/2020,3.5,3.5,3.200000048,3.349999905,3.349999905,153400
10/6/2020,3.289999962,3.390000105,2.980000019,3.00999999,3.00999999,363800
10/7/2020,3.059999943,3.25,3.059999943,3.170000076,3.170000076,128400
10/8/2020,3.299999952,3.74000001,3.170000076,3.720000029,3.720000029,404600
10/9/2020,3.74000001,3.920000076,3.599999905,3.809999943,3.809999943,377500
10/13/2020,3.980000019,4,3.769999981,3.839999914,3.839999914,224100
10/14/2020,3.869999886,3.960000038,3.769999981,3.809999943,3.809999943,122500
10/15/2020,3.75,3.950000048,3.700000048,3.910000086,3.910000086,119100
10/16/2020,3.950000048,4.074999809,3.869999886,3.970000029,3.970000029,109400
10/19/2020,3.970000029,4.289999962,3.970000029,4.289999962,4.289999962,289000
10/20/2020,4.289999962,4.400000095,4.150000095,4.210000038,4.210000038,231300
10/21/2020,4.570000172,5,4.349999905,4.760000229,4.760000229,708500
10/22/2020,4.849999905,5,4.559999943,4.860000134,4.860000134,491000
10/23/2020,4.900000095,4.900000095,4.630000114,4.820000172,4.820000172,283200
10/26/2020,4.900000095,5.179999828,4.5,4.579999924,4.579999924,509100
10/27/2020,4.849999905,5.079999924,4.610000134,4.800000191,4.800000191,439800
10/28/2020,4.75,4.769999981,4.380000114,4.619999886,4.619999886,668100
10/29/2020,4.650000095,4.78000021,4.400000095,4.599999905,4.599999905,787300
10/30/2020,4.5,4.619999886,4.320000172,4.46999979,4.46999979,117200
11/2/2020,4.400000095,4.590000153,4.150000095,4.5,4.5,340700
11/3/2020,4.619999886,4.800000191,4.550000191,4.699999809,4.699999809,222600
11/4/2020,4.710000038,4.929999828,4.650000095,4.820000172,4.820000172,178600
11/5/2020,5.019999981,5.369999886,5.019999981,5.269999981,5.269999981,681300
11/6/2020,5.460000038,5.480000019,4.929999828,5.190000057,5.190000057,318300
11/9/2020,5.599999905,5.599999905,4.849999905,5.210000038,5.210000038,541300
11/10/2020,5.150000095,5.230000019,4.769999981,4.840000153,4.840000153,238000
11/11/2020,5.010000229,5.25,4.880000114,5.079999924,5.079999924,286000
11/12/2020,5.25,5.650000095,5.170000076,5.349999905,5.349999905,271000
11/13/2020,5.650000095,5.670000076,5.300000191,5.650000095,5.650000095,275200
11/16/2020,5.710000038,6.440000057,5.699999809,6.110000134,6.110000134,487500
11/17/2020,6.090000153,7,6.059999943,6.75,6.75,763000
11/18/2020,7,7.090000153,6,6.309999943,6.309999943,996600
